Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
CANSIGLIO;Prime Nove;35;;;;;34,2;126;32,6;122;;;34,9;117;32,8;113
CANSIGLIO;Seconde Nove;36;;;;;35,8;132;33,9;128;;;36;121;34,2;117
CAORLE;18 Buche;72;;;;;71,3;129;68,2;122;;;73,5;124;71,8;120
CAORLE;Prime Nove;36;;;;;35,5;130;33,9;123;;;36,7;121;35,8;118
CAORLE;Seconde Nove;36;;;;;35,8;127;34,3;121;;;36,8;125;36;122
CARIMATE;18 Buche;71;;;71;130;69,7;128;67,5;123;72,9;127;71,2;123;69,6;120
CARIMATE;Prime Nove;36;;;35,4;131;34,7;128;33,9;124;36,4;127;35,6;123;34,7;119
CARIMATE;Seconde Nove;35;;;35,6;131;34,9;128;33,6;122;36,4;127;35,6;123;34,9;121
CASALUNGA;18 Buche;72;;;71,4;128;70,6;125;68;119;72,8;123;71,2;117;69;112
CASALUNGA;Prime Nove;36;;;35,7;128;35,3;125;34;119;36,4;123;35,6;118;34,5;112
CASALUNGA;Seconde Nove;36;;;35,7;128;35,3;125;;;36,4;123;35,6;118;;
CASENTINO;18 Buche;72;;;;;70,6;123;67,5;116;;;73;131;68,5;122
CASENTINO;Nove Buche;36;;;;;35,3;123;33,7;116;;;36,5;131;34,2;121
CASENTINO;Tinzinosa;72;;;;;70,7;127;67,3;119;;;73;132;;
CASENTINO;Tinzinosa 2017;71;;;;;71;128;68,2;121;;;74,1;132;;
CASENTINO;Tinzinosa prime nove (Panorama);36;;;;;35,4;126;33,9;119;;;36,7;132;;
CASTELCONTURBIA;9 buche Azzurro;36;;;36,8;142;35,9;138;34;129;37,8;141;36,6;133;34,7;125
CASTELCONTURBIA;9 buche Giallo;36;;;36,4;148;35,6;146;33,9;138;37,5;135;36,8;131;35,6;126
CASTELCONTURBIA;9 buche Rosso;36;;;37,7;143;37;141;35,2;132;38,6;137;37,5;135;36,2;129
