Circolo;name;par;neroCR;neroSlope;biancoCR;biancoSlope;gialloCR;gialloSlope;verdeCR;verdeSlope;bluCR;bluSlope;rossoCR;rossoSlope;arancioCR;arancioSlope
PAVONIERE;seconde 9 short 2 volte;72;;;75;144;72,6;142;70,1;136;77,2;146;75;140;71,4;132
PAVONIERE;Seconde Nove;36;;;37,5;144;36,6;142;35,1;134;38,6;146;37,5;140;35,9;133
PAVONIERE;seconde nove sh;36;;;37,5;144;36,3;142;35;136;38,6;146;37,5;140;35,9;133
PERUGIA;Percorso Par 72;72;;;;;71;125;67,2;116;;;72,7;122;69,5;117
PERUGIA;Prime Nove;38;;;;;37,2;133;35,5;129;;;37,9;130;36,2;126
PERUGIA;provv 2018 18 buche;72;;;;;70;122;67,3;116;;;71,8;118;69,3;116
PERUGIA;Seconde Nove;34;;;;;33,8;117;32,5;114;;;34,8;114;33,3;111
PETERSBERG;18 Buche;71;;;;;70,4;127;68,2;122;;;70,8;128;68,5;123
PETERSBERG;Prime Nove;36;;;;;36;130;;;;;36;133;;
PETERSBERG;Seconde Nove;35;;;;;34,4;123;;;;;34,8;123;;
PEVERO;18 Buche;72;;;75,3;141;73,5;140;71,4;135;76,9;146;74,5;140;72,2;135
PEVERO;Prime Nove;36;;;37,9;140;36,9;140;35,8;135;38,6;145;37,3;137;36,2;132
PEVERO;Seconde Nove;36;;;37,4;143;36,6;140;35,6;135;38,3;148;37,2;144;36;139
PICCIOLO;18 Buche;72;;;72,5;136;70,6;133;69,2;130;74;122;72,6;119;71,7;117
PICCIOLO;Prime Nove;36;;;35,4;134;34,2;129;33,5;126;36,1;121;35,4;118;35;116
PICCIOLO;Seconde Nove;36;;;37,1;137;36,4;136;35,6;133;37,9;123;37,2;120;36,8;118
PINEROLO;Prag.1 5bis 9 b;36;;;35,3;139;34;137;32,9;131;36,1;137;35,3;138;33,9;131
PINEROLO;Pragelato1 5bis;72;;;70,6;139;68;137;65,7;131;72,2;137;70,6;138;67,7;131
PINEROLO;Pragelato2;72;;;70,6;140;68,2;138;65,8;132;72,4;139;70,8;140;67,9;133
PINEROLO;Pragelato2 9 b;36;;;35,3;140;34,1;138;32,9;132;36,2;139;35,4;140;34;133
PINETINA;18 Buche;70;;;71,7;128;70,5;126;67,9;120;73,9;125;72,3;122;69,5;116
PINETINA;18 Buche Par 71;71;;;71,9;128;70,6;126;68,1;121;74,2;126;72,6;123;69,8;117
PINETINA;Prime Nove;36;;;36;131;35,4;129;34,2;124;37,4;127;36,6;124;35,3;119
PINETINA;Seconde Nove;34;;;35,7;124;35,1;122;33,7;116;36,5;123;35,7;120;34,2;114
PINETINA;Seconde Nove Par 35;35;;;35,9;125;35,2;123;33,9;117;36,8;124;36;121;34,5;115
POGGIO MEDICI;18 Buche;72;;;74,4;135;72,7;131;;;76,5;134;74,6;131;;
POGGIO MEDICI;2018;73;;;74,7;139;73,4;134;70,8;128;76,7;137;75,6;134;72,6;128
POGGIO MEDICI;Par 73;73;;;74,7;138;73,4;133;71;127;76,2;133;75;133;71,9;127
POGGIO MEDICI;Prime Nove;36;;;37,1;134;36,2;125;;;37,8;132;36,9;130;;
POGGIO MEDICI;Prime Nove Buche Par 37;37;;;;;37,1;130;;;;;37,5;130;;
POGGIO MEDICI;Seconde Nove;36;;;37,2;136;36,6;136;;;38,7;136;37,7;132;;
PONTE LEGNO;18 Buche;70;;;;;68,2;130;65,3;123;;;70,3;140;68,3;136
PONTE LEGNO;Nove Buche;35;;;;;34,1;130;32,7;127;;;35,3;141;34,1;139
PORDENONE;18 buche 2018;72;;;;;71,1;127;67,6;118;;;71,2;123;66,8;114
PORDENONE;18 buche 2019;72;;;;;71,2;127;67,6;118;;;71,6;124;66,8;114
PORDENONE;prime nove 2018;36;;;35,9;1,32;35,6;1,29;33,8;1,21;36,4;1,32;35,8;1,29;33,6;1,2
PORDENONE;prime nove 2019;36;;;;;36,7;129;33,8;121;;;35,9;130;33,6;120
PORDENONE;seconde 9 2018;36;;;35,9;125;35,6;123;33,6;114;36,1;120;35,5;117;33,3;108
PORDENONE;seconde nove 2019;36;;;;;35,7;123;33,6;114;;;35,6;118;33,3;108
PREMENO;18 Buche;68;;;;;66,5;122;63,5;115;;;68;118;;
PREMENO;Prime Nove;34;;;;;33,4;124;;;;;34,1;117;;
PREMENO;Seconde Nove;34;;;;;33,1;120;31,5;113;;;33,9;119;;
PRIMULE;18 buche;62;;;62,6;118;62,4;116;60,6;112;62,6;116;62;114;62;114
PRIMULE;Nove Buche;31;;;31,3;118;31,2;116;30,3;112;31,3;116;31;114;;
PUNTA ALA;18 Buche;72;;;73,8;140;73,3;139;70,4;132;73,9;137;73,7;136;72,6;134
PUNTA ALA;Prime Nove;36;;;37,2;144;36,8;143;35,4;136;37,3;140;37,2;139;36,6;137
PUNTA ALA;Seconde Nove;36;;;36,6;137;36,4;136;35;128;36,6;133;36,5;133;36;131
PUNTALDIA;18 Buche;60;;;;;62,6;105;58,9;96;;;62;97;62;97
PUNTALDIA;9 buche;30;;;;;31,3;105;29,4;96;;;31;97;;
PUSTERTAL;18 Buche;68;;;69,9;132;69,2;127;66,7;121;71,9;132;69,4;126;66,5;120
PUSTERTAL;Prime Nove;34;;;;;34,6;127;33,4;124;;;34,7;126;33,3;123
PUSTERTAL;Seconde Nove;34;;;;;34,6;127;33,4;124;;;34,7;126;33,3;123
RAPALLO;9 buche giro corto;34;;;33,9;118;33,5;116;32,3;110;34,9;122;34,7;120;33,2;114
RAPALLO;B.1 Par3 B.5 Rid. PAR 69;69;;;;;68,8;120;;;;;70,6;124;;
RAPALLO;B.5 Rid. Par 69;69;;;68,9;120;68;118;65,1;111;70,7;125;69,9;122;;
RAPALLO;B.5 Rid. Par 70;70;;;70,6;123;69,4;121;66,4;114;72,5;127;71,3;125;68,7;119
RAPALLO;Misto 9 buche;35;;;;;34,2;119;33,3;114;;;34,7;121;;
RAPALLO;Prime Nove B.5 Rid. Par 70;36;;;;;34,9;128;33,6;122;;;35,8;132;34,3;126
REGGIO EMILIA;Percorso gare 18 buche;58;;;;;57,4;86;57,4;86;;;57,6;81;57,6;81
REGGIO EMILIA;Percorso Gare 9 buche;29;;;;;28,7;86;;;;;28,8;81;;
RENDENA;18 Buche;70;;;;;68,6;133;66,1;127;;;70,9;127;68,3;122
RENDENA;Prime Nove;35;;;;;34,3;133;33;130;;;35,5;127;34,3;124
RENDENA;Seconde Nove;35;;;;;34,3;133;;;;;35,5;127;;
RIETI;18 Buche;70;;;;;68,6;124;68,6;118;;;70,6;125;68,4;120
RIETI;Nove Buche;35;;;;;34,3;124;;;;;35,3;125;;
RIMINI VERUCCHIO;18 Buche;72;;;72;131;70;127;66,9;120;73,9;130;72,1;127;;
RIMINI VERUCCHIO;Nove Buche 1-2-3-10-14...18;37;;;36,5;136;35,5;132;32,4;118;37,4;130;36,7;127;;
RIMINI VERUCCHIO;Nove Buche Executive;29;;;;;28,7;100;;;;;27,9;97;;
RIMINI VERUCCHIO;Prime Nove;37;;;37,1;127;36;124;34,2;116;38,3;133;37,2;129;;
RIMINI VERUCCHIO;Seconde Nove;35;;;34,9;135;34;130;32,7;124;35,6;126;34,9;124;;
RIVIERA GOLF;18 Buche;70;;;72,4;128;70,1;122;66,9;115;73,9;132;70,3;126;67,5;120
RIVIERA GOLF;invernale 18 buche;72;;;74,8;135;72;129;69,2;123;77,2;138;74,2;132;71,2;126
RIVIERA GOLF;invernale 9 buche;36;;;37,4;135;36;129;34,6;123;38,6;138;37,1;132;35,6;126
RIVIERA GOLF;Prime Nove;36;;;36,7;130;35,6;125;33,8;117;37,2;131;36;126;34;122
RIVIERA GOLF;Seconde Nove;34;;;35,7;126;34,5;118;33,1;113;36,7;132;35,3;126;33,5;118
ROBINIE;18 Buche;72;;;73,7;130;71,7;125;69,9;121;76,2;129;73,7;123;70,5;116
ROBINIE;Invernale (1-4-11 green provv);72;;;;;71,1;125;;;;;72,9;124;;
ROBINIE;Invernale Prime Nove;36;;;;;35;128;;;;;35,8;120;;
ROBINIE;Invernale Seconde Nove;36;;;;;36,1;122;;;;;37,1;128;;
ROBINIE;Prime Nove;36;;;36,5;131;35,6;126;34,7;122;37,7;126;36,4;121;35;115
ROBINIE;Seconde Nove;36;;;37,2;129;36,2;124;35,2;119;38,5;133;37,2;127;35,4;117
ROMA ACQUASANTA;18 Buche;71;;;71,8;135;70,7;131;67,9;124;73,7;133;72,3;132;69,9;127
ROMA ACQUASANTA;Prime Nove;35;;;35,5;134;34,8;127;33,4;124;36,4;134;35,7;130;34,4;127
ROMA ACQUASANTA;Seconde Nove;36;;;36,3;137;35,9;135;34,5;132;37,3;132;36,7;133;;
ROSSERA;18 Buche;70;;;;;68,6;123;65,5;116;;;70,9;122;;
ROSSERA;Prime Nove;35;;;;;34,3;123;32,8;116;;;35,5;122;;
ROSSERA;Seconde Nove;35;;;;;34,3;123;;;;;35,5;122;;
ROVEDINE;18 Buche;72;;;72,8;126;72,2;124;68,5;116;74,2;124;73,6;123;;
ROVEDINE;Nuove Buche;36;;;;;36,5;122;34,6;113;;;37,6;123;;
ROVEDINE;Prime Nove;36;;;;;36,7;127;34,8;118;;;37,3;125;;
ROVEDINE;Seconde Nove;36;;;;;35,6;120;33,9;112;;;36,3;121;;
ROVEDINE;Vecchie Buche;36;;;;;35,6;124;33,9;116;;;35,8;126;;
ROVIGOLF;18 Buche;56;;;;;57,6;94;57,6;94;;;59,6;97;59,6;97
ROVIGOLF;Nove Buche;28;;;;;28,8;94;28,8;94;;;29,8;97;;
ROYAL PARK ROVERI;Hurdzan Fry;72;;;74,6;140;72,3;136;69,3;129;77;137;74,5;134;71,1;127
ROYAL PARK ROVERI;Hurdzan Fry 10-18;36;;;37,8;137;36,6;132;35,1;125;38,6;135;37,5;134;35,8;127
ROYAL PARK ROVERI;Hurdzan Fry 1-9;36;;;36,8;143;35,7;139;34,2;132;38,4;138;37;134;35,3;127
ROYAL PARK ROVERI;Trent Jones;72;;;74,7;143;73,3;138;70,3;131;76,6;136;75;133;71,9;127
ROYAL PARK ROVERI;Trent Jones Prime Nove;36;;;37,1;151;36,3;147;34,8;144;38,1;144;37,2;140;35,6;137
ROYAL PARK ROVERI;Trent Jones Seconde Nove;36;;;37,6;133;36,9;130;35,4;126;38,5;129;37,8;126;36,4;123
SALERNO;18 BUCHE;68;;;64,8;112;63,4;109;61,9;105;67,6;118;66,4;115;;
SALERNO;18 BUCHE DOPPIE PARTENZE;68;;;;;64,1;111;61,9;105;;;67;117;;
SALERNO;9 BUCHE;34;;;32,4;112;31,7;109;31;105;33,8;118;33,2;115;;
SALICE TERME;18 Buche;70;;;;;68,2;121;64,9;113;;;69,8;124;65,8;116
SALICE TERME;Prime Nove;35;;;;;34,2;121;32,6;117;;;35,1;125;33,1;121
SALICE TERME;Seconde Nove;35;;;;;34;120;;;;;34,7;123;;
SALICI;18 buche;60;;;;;58,4;102;57,4;100;;;58,4;101;;
SALICI;9 buche;30;;;;;29,2;102;28,7;100;;;29,2;101;;
SALSOMAGGIORE TERME;18 Buche;72;;;;;70,9;132;67,7;125;;;72,7;124;;
SALSOMAGGIORE TERME;Prime Nove;36;;;;;35,3;134;33,6;126;;;36,3;127;;
SALSOMAGGIORE TERME;Seconde Nove;36;;;;;35,6;130;34,1;123;;;36,5;121;;
SALUZZO;18 Buche;72;;;72,8;132;72,2;132;68,5;123;74,6;128;73,6;126;69,7;118
SALUZZO;2020 doppie partenze;72;;;;;72,5;132;68,5;123;;;74,1;127;69,7;118
SALUZZO;Nove Buche;36;;;36,4;132;36,1;132;34,3;123;37,3;128;36,8;126;34,9;118
SAN DOMENICO - EGNAZIA;18 Buche;72;;;73,7;133;71,3;128;67,1;118;73,3;130;71,1;128;67,1;120
SAN DOMENICO - EGNAZIA;Prime Nove;37;;;;;36,6;131;34,8;125;;;36,6;130;;
SAN DOMENICO - EGNAZIA;Seconde Nove;35;;;;;34,8;125;33;119;;;34,6;125;;
SAN DONATO;18 buche 2015;68;;;;;67;127;64,8;119;;;68,2;129;65,7;124
SAN DONATO;Prime Nove;35;;;;;33,5;116;;;;;34,5;127;;
SAN DONATO;Seconde Nove;33;;;;;33,5;123;;;;;34,5;131;;
SAN GIOVANNI BOSCHI;18 Buche;72;;;70,3;136;69;133;65,4;125;71,6;128;68,7;122;66,4;117
SAN GIOVANNI BOSCHI;Prime Nove;36;;;35,1;136;34,5;133;32,7;129;35,8;128;34,4;122;33,2;120
SAN MICHELE;18 Buche;70;;;;;68,8;126;65,5;118;;;69,4;121;;
SAN MICHELE;Nove Buche;35;;;;;34,4;126;32,8;118;;;34,7;121;;
SAN MINIATO;18 Buche;62;;;;;62;100;61,1;98;;;62,7;98;62,7;98
SAN MINIATO;Prime Nove;31;;;;;31;100;31;100;;;31,4;98;;
SAN MINIATO;Seconde Nove;31;;;;;31;100;31;100;;;31,4;98;;
SAN VALENTINO;1° Nove P.72;36;;;;;38,3;135;36,5;127;;;38,1;137;;
SAN VALENTINO;18 Buche;69;;;70,3;126;69,6;126;66,4;119;70;119;69,1;117;;
SAN VALENTINO;2° Nove P.72;36;;;;;36,4;136;;;;;35,8;123;;
SAN VALENTINO;Par 72;72;;;75,4;137;74,7;136;71,1;128;74,8;131;73,9;130;71,1;124
SAN VALENTINO;Prime Nove;33;;;;;33,2;115;31,9;109;;;33,3;111;;
SAN VALENTINO;Seconde Nove;36;;;;;36,4;136;34,6;128;;;35,8;123;;
SAN VIGILIO;Benaco;36;;;36,8;123;36,2;121;34,6;117;36,8;120;36,2;117;34,6;114
SAN VIGILIO;Benaco-San Mar.;71;;;72,1;125;71,1;123;67,9;116;72,7;122;70,8;118;67,7;111
SAN VIGILIO;Benaco-Solfer.;72;;;73,2;126;71,7;124;68,2;116;72,6;121;71,6;119;68,4;112
SAN VIGILIO;San Martino;35;;;35,3;126;34,9;125;33,4;121;35,9;124;34,6;119;33,1;116
SAN VIGILIO;Solfer.-San Mar;71;;;71,7;127;70,4;126;67;118;71,7;123;70;120;67;114
SAN VIGILIO;Solferino;36;;;36,4;128;35,5;126;33,6;122;35,8;121;35,4;120;33,9;117
SAN VITO;9 buche;30;;;;;28,9;98;;;;;29,4;98;;
SAN VITO;18 BUCHE 2017;64;;;;;62;114;59,9;109;;;63,4;120;60,8;115
SAN VITO;9 BUCHE 2017;32;;;;;31;114;29,9;112;;;31,7;120;30,4;117
SANREMO ULIVI;18 Buche;69;;;68,7;119;68,7;119;66,2;113;71;120;71;120;68,2;114
SANREMO ULIVI;9 buche 1-4 14-18;35;;;34,6;113;;;;;35,7;125;;;;
SANREMO ULIVI;Prime Nove;34;;;33;120;33;120;31,9;115;34;120;34;120;32,6;115
SANREMO ULIVI;Seconde Nove;35;;;34,9;112;34,9;112;33,6;106;36;116;36;116;34,6;112
SANTA MARIA MAGGIORE;18 Buche;60;;;;;60,6;105;59,6;103;;;61,2;110;;
SANTA MARIA MAGGIORE;18 Buche (8 par 3);58;;;;;60,2;101;59,1;98;;;60,4;106;60,4;106
SANTA MARIA MAGGIORE;9 Buche (8 par 3);29;;;;;30,1;101;29,6;98;;;30,2;106;;
SANTA MARIA MAGGIORE;9 Buche (8 par 4);30;;;;;30,3;105;29,8;103;;;30,6;110;;
SANTO STEFANO;18 Buche;64;;;;;63,6;107;61,5;102;;;65,5;104;65,5;104
SANTO STEFANO;Nove Buche;32;;;;;31,8;107;30,5;101;;;32,8;104;;
SAPPADA;18 Buche;62;;;;;59;92;;;;;58,9;95;;
SAPPADA;Prime Nove;31;;;;;29,5;92;;;;;29,4;95;;
SAPPADA;Seconde Nove;31;;;;;29,5;92;;;;;29,4;95;;
SATURNIA;18 Buche;72;;;74,5;144;72,2;140;69,3;133;75,4;143;72,2;136;69,4;130
SATURNIA;Prime Nove;37;;;;;36,5;136;;;;;35,7;135;;
SATURNIA;Seconde Nove;35;;;;;35,9;146;;;;;37,2;137;;
SERRA;18 Buche;72;;;;;68,6;135;65,7;128;;;70,1;136;67,2;130
SERRA;Prime Nove;36;;;;;34,3;135;32,7;131;;;35;135;33,5;132
SERRA;Seconde Nove;36;;;;;34,3;135;32,9;129;;;35,1;136;;
SERRAVALLE;18 Buche;72;;;;;72,2;131;69,7;125;;;74,2;129;;
SERRAVALLE;Nove Buche;36;;;;;36,1;131;34,9;125;;;37,1;129;;
SESTRIERES;18 Buche;65;;;;;63,8;112;60,6;105;;;64,8;114;;
SESTRIERES;prime nove;31;;;;;30,7;107;28,9;99;;;30,6;106;;
ST. ANNA;18 Buche;71;;;71,9;133;70,1;130;67,3;124;72,5;128;70,7;124;67,8;118
ST. ANNA;GARA NAZIONALE;71;;;70,4;132;;;;;72;127;;;;
ST. ANNA;Mare;35;;;36,1;127;34,9;124;;;36,2;126;35,2;121;;
ST. ANNA;Mare 2 volte;70;;;72,2;127;69,8;124;;;72,4;126;70,4;121;;
ST. ANNA;Monti;36;;;35,8;138;35,2;135;;;36,3;130;35,5;127;;
ST. ANNA;Monti 2 volte;72;;;71,6;138;70,4;135;;;72,6;130;71;127;;
ST. VIGIL SEIS;18 Buche;69;;;67,4;135;66,9;133;63,6;125;70,6;132;69,5;129;65,9;122
ST. VIGIL SEIS;Prime Nove;35;;;33,8;140;33,4;138;31,8;130;35,3;138;34,7;136;32,9;129
ST. VIGIL SEIS;Seconde Nove;34;;;33,7;128;33,6;128;31,9;120;35,4;126;34,9;122;33,1;115
STUPINIGI;18 buche 2018 par 62;62;;;;;62,2;108;61;105;;;62,4;99;;
STUPINIGI;18 Buche Par 64;64;;;63,2;108;63,2;108;61,7;105;64,2;101;64,2;101;;
STUPINIGI;18 Buche Par 66;66;;;64,6;108;64,6;108;62,9;104;65,8;111;65,8;111;65,8;111
STUPINIGI;9 buche 2018 par 31;31;;;;;31,1;108;30,5;105;;;31,2;99;;
STUPINIGI;9 Buche Par 32;32;;;31,6;108;31,6;108;30,9;105;32,1;101;32,1;101;;
STUPINIGI;9 buche par 33;33;;;32,3;108;32,3;108;31,5;104;32,9;110;32,9;110;;
STUPINIGI;OLD COURSE 18B;66;;;;;65,2;112;62,4;105;;;66,8;117;66,8;117
STUPINIGI;OLD COURSE 9B;33;;;;;32,6;112;31,2;105;;;33,4;117;;
TANKA VILLASIMIUS;18 Buche;70;;;71,5;140;70,8;140;68,9;136;74,6;137;72,3;134;70,2;130
TANKA VILLASIMIUS;Prime Nove;34;;;;;34,8;135;34;130;;;35,2;126;34,3;123
TANKA VILLASIMIUS;Seconde Nove;36;;;;;36;145;34,9;142;;;37,1;140;35,9;137
TARQUINIA;18 Buche;70;;;;;69,6;121;67;115;;;71,6;125;68,7;119
TARQUINIA;9 Buche;35;;;;;34,8;121;33,5;118;;;35,8;125;34,3;122
TARVISIO;18 buche 2013;70;;;68,9;120;68,5;119;65,2;111;70,8;124;69;121;66,5;116
TARVISIO;9 buche primo;35;;;;;34,7;121;33,2;114;;;35,7;122;34,2;116
TARVISIO;9 buche secondo;35;;;;;33,7;118;31,9;109;;;33,3;118;32,2;114
TAURIANA;Percorso 18 buche;70;;;;;68,6;115;;;;;71,2;120;71,2;120
TAURIANA;Percorso 9 buche;35;;;;;34,3;115;;;;;35,6;120;;
TERRE CONSOLI;18 buche 2019 provv;72;76,2;136;74,8;133;72,1;127;69,6;121;77,1;131;74,2;125;70,5;117
TERRE CONSOLI;Executive PAR 31;31;;;;;30,4;101;29,8;98;;;30,4;103;29,1;98
TERRE CONSOLI;Executive PAR 62;62;;;;;60,8;101;59,5;98;;;60,8;103;58,2;98
TESINO;18 Buche;70;;;;;70,2;129;67,6;119;;;71,4;129;68,2;117
TESINO;Prime Nove;35;;;;;35;130;33,8;119;;;35,4;128;34,1;117
TESINO;Seconde Nove;35;;;;;35,3;128;;;;;36;129;;
TIRRENIA;18 Buche;72;;;;;72,5;132;68,9;124;;;75,9;138;72;130
TIRRENIA;Misto;72;;;;;72,9;127;69,1;118;;;75,7;133;;
TIRRENIA;Nove buche;36;;;;;36,3;132;34,5;124;;;38;138;36;130
TORINO;1° Nove Blu;36;;;;;35,9;140;34,8;135;;;37,1;129;35,8;124
TORINO;1° Nove Giallo;36;;;;;36,4;140;35,2;129;;;37,5;133;36,3;131
TORINO;2° Nove Blu;36;;;;;36,4;138;35,2;132;;;37,3;133;36;128
TORINO;2° Nove Giallo;36;;;;;36;134;34,9;129;;;37;127;35,8;122
TORINO;Blu;72;75,1;145;73,7;142;72,3;139;69,8;133;76,6;139;74,4;131;71,8;125
TORINO;Blu1-Giallo1;72;;;73,4;142;72,3;140;69,9;135;76,4;137;74,5;131;72,2;126
TORINO;Blu1-Giallo2;72;;;73,4;134;72,1;132;70,1;128;76,6;137;74,6;131;71,8;125
TORINO;Blu2-Giallo1;72;;;74,1;143;72,8;141;70,2;135;76,2;137;74,7;133;72,3;128
TORINO;Blu2-Giallo2;72;;;74,1;135;72,6;133;70,3;128;76,4;137;74,8;133;71,9;127
TORINO;Giallo;72;;;73,8;136;72,6;133;70,2;127;76,2;135;74,9;132;72,3;127
TORRAZZO - CREMONA;18 Buche;64;;;;;64;103;61,6;97;;;64,6;104;64,6;104
TORRAZZO - CREMONA;Prime Nove;32;;;;;32;103;30,8;97;;;32,3;104;;
TORRAZZO - CREMONA;Seconde Nove;32;;;;;32;103;;;;;32,3;104;;
TORRE RONCHI;18 Buche;72;;;71,2;125;71;121;67,6;113;74;131;72,6;126;69,5;119
TORRE RONCHI;Misto I Bianchi II Gialli;72;;;;;71,1;123;67,3;114;;;73,3;128;69,7;121
TORRE RONCHI;Prime Nove;36;;;35,6;125;35,5;121;33,8;117;37;131;36,3;126;34,7;123
TORRENOVA;18 Buche;70;;;68;132;66,2;132;;;;;68,4;118;;
TORRENOVA;9 Buche;35;;;34;132;33,1;132;;;;;34,2;118;;
TOSCANA;18 Buche;71;;;71,4;131;70,5;129;68;123;74,1;126;71,9;122;69,5;117
TOSCANA;Prime Nove;36;;;36,6;137;36,2;134;34,3;125;38,1;130;37;126;;
TOSCANA;Seconde Nove;35;;;34,8;125;34,4;123;;;36;122;34,8;118;;
TRIESTE;18 Buche;70;;;71,7;128;70,2;126;67,2;119;74,1;124;72,6;122;69,1;115
TRIESTE;Prime Nove;36;;;35,5;128;35,2;127;33,5;119;36,9;122;36;120;;
TRIESTE;Seconde Nove;34;;;36,2;128;35,1;126;33,8;120;37,2;126;36,5;125;;
UDINE;18 buche 2018;72;74,8;140;74,4;139;73;136;70,2;130;75,7;133;73,7;129;70,9;123
UDINE;Prime Nove;36;;;36,8;134;36,3;132;34,8;129;37,4;126;36,4;122;34,9;119
UDINE;Seconde Nove;36;;;37,6;143;36,7;139;35,4;134;38,3;140;37,3;136;36,1;131
VALCURONE;18 Buche;71;;;73,3;138;72,2;136;67,3;125;74,8;130;73,8;128;71,3;123
VALCURONE;Prime Nove;36;;;36,6;141;36,1;138;33,6;127;37,3;132;36,8;130;35,5;125
VALCURONE;Seconde Nove;35;;;36,8;134;36,2;132;33,7;121;37,5;129;37;126;35,8;121
VALDICHIANA;18 Buche;68;;;;;67,6;125;64,2;117;;;69;112;65,2;104
VALDICHIANA;Nove Buche;34;;;;;33,8;125;32,1;117;;;34,5;112;32,6;104
VALPESCARA;18 BUCHE 2017;71;;;;;68,1;118;65,2;111;;;70;122;66,5;115
VALPESCARA;18 buche laghi;71;;;;;68,3;121;65,3;114;;;70,2;123;68,7;120
VALPESCARA;9b laghi;36;;;;;34,9;128;33,3;124;;;35,8;129;33,9;125
VALPESCARA;9b piano;36;;;;;34,8;118;33,3;115;;;36,2;117;34,2;113
VALPESCARA;Prime Nove;36;;;;;34,7;123;33,2;120;;;35,6;126;33,7;122
VALPESCARA;Seconde Nove;35;;;;;33,4;113;32;110;;;34,4;117;32,8;114
VALTELLINA;18 Buche;71;;;71,9;132;70,3;133;66,2;124;73,5;131;71,7;129;;
VALTELLINA;18 Buche OLD;72;;;73,1;133;71,2;136;67,7;128;74,9;133;73;131;;
VALTELLINA;9 Buche OLD;36;;;36,5;133;35,6;136;;;37,5;133;36,5;131;;
VALTELLINA;Prime Nove;35;;;35,7;131;35;132;33,1;123;36,5;130;35,6;128;;
VALTELLINA;Seconde Nove;36;;;36,3;133;35,4;134;;;37;132;36,2;130;;
VARESE;Percorso Challenge;71;;;71,1;128;70,5;127;67,7;121;73,2;131;72,4;128;68,2;119
VARESE;Prime Nove;36;;;35,2;135;35;137;33,6;131;36,5;136;35,9;133;34,2;126
VARESE;Prime Nove Challenge;35;;;35;133;34,6;134;33,3;131;36;135;35,7;128;33,7;124
VARESE;Seconde Nove;36;;;36,6;125;36,3;124;34,8;120;37,7;128;37,5;127;35,3;122
VARESE;Vecchio Monast.;72;;;71,8;130;71,3;130;68,2;123;74,2;132;73,4;130;70;123
VENEZIA;18 Buche;72;;;73,4;139;72,6;138;70,2;132;75,1;133;74,7;133;72,1;128
VENEZIA;18 Buche Provvisorio;72;;;;;73,4;135;;;;;75,2;129;;
VENEZIA;2 Volte 2° Nove;74;;;;;75,2;146;;;;;77,6;139;;
VENEZIA;9 Buche Provvisorio;36;;;;;36,7;135;;;;;37,6;129;;
VENEZIA;Prime Nove;35;;;35,4;130;35;129;33,8;123;36,2;127;36;126;34,6;125
VENEZIA;Seconde Nove;37;;;37,9;148;37,6;146;36,4;140;39;140;38,8;139;37,5;134
VERDURA;East - Prime Nove;36;;;;;35,4;129;32,5;116;;;34,8;119;;
VERDURA;East - Seconde Nove;36;;;;;36,9;127;33,9;113;;;36,4;125;;
VERDURA;EAST Course;72;;;73,9;132;72,3;128;66,5;115;75,9;132;71,2;122;;
VERDURA;misto 2019;70;74,9;132;73,3;128;71,9;125;68,9;118;75,4;130;71,6;122;68,8;116
VERDURA;West - Prime Nove;37;;;;;37,8;135;35,3;123;;;38,3;143;;
VERDURA;West - Seconde Nove;35;;;;;35,2;135;32,6;123;;;34,7;127;;
VERDURA;WEST Course;72;;;74,6;139;73;135;67,9;123;76,9;143;73;135;;
VERONA;18 Buche;72;;;73,7;142;72;139;71;137;75;134;73,5;130;72,5;128
VERONA;Prime Nove;35;;;;;35;137;34,5;135;;;35,7;126;35,2;124
VERONA;Seconde Nove;37;;;;;37;142;36,5;140;;;37,8;133;37,3;131
VICENZA;18 Buche;72;;;72,6;138;71;135;67,6;127;74,2;130;72,6;127;70,9;123
VICENZA;Prime Nove;36;;;36,3;138;35,5;135;33,8;127;37,1;130;36,3;127;35,5;123
VICENZA;Seconde Nove;36;;;36,3;138;35,5;135;33,8;127;37,1;130;36,3;127;35,5;123
VIGEVANO;18 Buche;71;;;71;127;70,7;125;67,5;118;73,2;126;72,7;124;68,9;116
VIGEVANO;Prime Nove;35;;;35;128;34,8;126;33,3;119;36,1;126;35,8;124;33,9;116
VIGEVANO;Seconde Nove;36;;;36;125;35,8;125;34,2;118;37;125;36,9;124;35;116
VIGNE;18 Buche;70;;;70,2;124;69,1;122;66,4;116;71,6;136;70,5;129;68;124
VIGNE;Prime 9;35;;;34,9;120;34,4;118;33,1;112;35,9;125;35,4;123;34,1;118
VIGNE;Seconde 9;35;;;35,2;127;34,7;125;33,3;118;35,7;137;35,1;134;33,8;129
VILLA CAROLINA;Il Principe;72;;;72,1;129;71,1;127;67,6;119;74,5;127;72,6;124;;
VILLA CAROLINA;La Marchesa;72;;;74;130;72,8;130;69,5;122;75,7;124;73,9;124;70,9;118
VILLA CAROLINA;Paradiso;72;;;72,4;129;70,5;126;68;120;74,3;131;72;126;69,5;121
VILLA CAROLINA;Paradiso 9 buche;36;;;;;34,8;126;35,6;123;;;35,6;123;;
VILLA CONDULMER;18 Buche (Giallo/Blu);71;;;71;122;70;120;67,7;115;72,4;123;71,5;121;68,8;115
